durations,T_all,NA_core,NA_rim,NB_core,NB_rim
121.0,1210.0109792405817,266.38558753306575,801.0,358.61441246693425,0.0
122.0,1209.958810545193,265.2691962706703,801.0,359.7308037293297,0.0
123.0,1209.9066418498041,264.1642438698921,801.0,360.8357561301079,0.0
124.0,1209.8544731544152,263.07055758244763,801.0,361.92944241755237,0.0
125.0,1209.8023044590266,261.9879681208037,801.0,363.0120318791963,0.0
126.0,1209.7501357636377,260.91630957194303,801.0,364.08369042805697,0.0
127.0,1209.6979670682488,259.85541931369534,801.0,365.14458068630466,0.0
128.0,1209.6457983728599,258.8051379335459,801.0,366.1948620664541,0.0
129.0,1209.5936296774712,257.7653091498358,801.0,367.2346908501642,0.0
130.0,1209.5414609820823,256.7357797352724,801.0,368.2642202647276,0.0
131.0,1209.4892922866934,255.71639944267156,801.0,369.28360055732844,0.0
132.0,1209.4371235913047,254.70702093285547,801.0,370.29297906714453,0.0
133.0,1209.3849548959158,253.7074997046341,801.0,371.2925002953659,0.0
134.0,1209.332786200527,252.71769402679973,801.0,372.28230597320027,0.0
135.0,1209.2806175051383,251.73746487206785,801.0,373.26253512793215,0.0
136.0,1209.2284488097494,250.7666758528997,801.0,374.2333241471003,0.0
137.0,1209.1762801143605,249.8051931591436,801.0,375.19480684085636,0.0
138.0,1209.1241114189718,248.8528854974361,801.0,376.1471145025639,0.0
139.0,1209.0719427235829,247.90962403230472,801.0,377.0903759676953,0.0
140.0,1209.019774028194,246.97528232891707,801.0,378.02471767108295,0.0
141.0,1208.9676053328053,246.04973629742244,801.0,378.95026370257756,0.0
142.0,1208.9154366374164,245.1328641388352,801.0,379.8671358611648,0.0
143.0,1208.8632679420275,244.22454629240974,801.0,380.77545370759026,0.0
144.0,1208.8110992466388,243.3246653844593,801.0,381.6753346155407,0.0
145.0,1208.75893055125,242.43310617857327,801.0,382.56689382142673,0.0
146.0,1208.706761855861,241.54975552718753,801.0,383.45024447281247,0.0
147.0,1208.6545931604724,240.67450232446637,801.0,384.3254976755336,0.0
148.0,1208.6024244650835,239.8072374604536,801.0,385.1927625395464,0.0
149.0,1208.5502557696946,238.94785377645368,801.0,386.0521462235463,0.0
150.0,1208.4980870743057,238.0962460216049,801.0,386.9037539783951,0.0
151.0,1208.445918378917,237.25231081060673,801.0,387.74768918939327,0.0
152.0,1208.393749683528,236.41594658256642,801.0,388.58405341743355,0.0
153.0,1208.3415809881392,235.58705356093023,801.0,389.41294643906974,0.0
154.0,1208.2894122927505,234.76553371446605,801.0,390.2344662855339,0.0
155.0,1208.2372435973616,233.9512907192653,801.0,391.04870928073467,0.0
156.0,1208.1850749019727,233.14422992173317,801.0,391.8557700782668,0.0
157.0,1208.132906206584,232.34425830253775,801.0,392.65574169746225,0.0
158.0,1208.0807375111951,231.55128444148852,801.0,393.4487155585115,0.0
159.0,1208.0285688158062,230.7652184833169,801.0,394.23478151668314,0.0
160.0,1207.9764001204176,229.98597210433155,801.0,395.01402789566845,0.0
161.0,1207.9242314250287,229.2134584799231,801.0,395.78654152007687,0.0
162.0,1207.8720627296398,228.44759225289215,801.0,396.55240774710785,0.0
163.0,1207.819894034251,227.6882895025772,801.0,397.31171049742284,0.0
164.0,1207.7677253388622,226.93546771475872,801.0,398.0645322852413,0.0
165.0,1207.7155566434733,226.18904575231662,801.0,398.8109542476834,0.0
166.0,1207.6633879480846,225.4489438266192,801.0,399.5510561733808,0.0
167.0,1207.6112192526957,224.71508346962264,801.0,400.28491653037736,0.0
168.0,1207.5590505573068,223.9873875066602,801.0,401.0126124933398,0.0
169.0,1207.506881861918,223.26578002990158,801.0,401.7342199700984,0.0
170.0,1207.4547131665292,222.5501863724631,801.0,402.4498136275369,0.0
171.0,1207.4025444711403,221.84053308315023,801.0,403.15946691684974,0.0
172.0,1207.3503757757514,221.13674790181457,801.0,403.8632520981854,0.0
